Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2017 [YR2017],2018 [YR2018],2020 [YR2020]
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Afghanistan,AFG,3.4794499874115,4.34319019317627,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Albania,ALB,3.41307497024536,3.61172008514404,3.15294480323792,3.3422999382019
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Algeria,DZA,..,5.73482370376587,5.81275129318237,6.1939172744751
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,American Samoa,ASM,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Andorra,AND,2.97662997245789,3.21708989143372,3.2467200756073,2.63213038444519
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Angola,AGO,3.42131996154785,2.46687889099121,2.18351292610168,2.6674473285675
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Antigua and Barbuda,ATG,..,2.36592817306519,2.34948754310608,2.99340319633484
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Argentina,ARG,5.01971006393433,5.45431995391846,4.87773990631104,5.27689981460571
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Armenia,ARM,3.24900007247925,2.70759010314941,2.25586795806885,2.70555996894836
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Aruba,ABW,6.75109004974365,4.45618057250977,4.54875898361206,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Australia,AUS,6.15043640136719,5.32125568389893,5.40967607498169,5.37828016281128
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Austria,AUT,5.70047998428345,5.37159013748169,5.22655010223389,5.57126998901367
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Azerbaijan,AZE,2.78062009811401,2.47381997108459,2.45543003082275,4.33204984664917
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Bahamas, The",BHS,2.45165991783142,2.69140648841858,2.48519492149353,3.7900116443634
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Bahrain,BHR,2.35114979743958,2.32781004905701,2.38893985748291,2.55237460136414
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Bangladesh,BGD,..,1.85040032863617,1.65589129924774,1.76528060436249
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Barbados,BRB,6.05261993408203,4.34997987747192,5.13313722610474,4.16860008239746
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Belarus,BLR,5.22003984451294,4.79500007629395,5.38110017776489,4.86263990402222
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Belgium,BEL,6.44259023666382,6.42534017562866,6.38107013702393,6.80185985565186
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Belize,BLZ,5.26443004608154,5.94967985153198,6.12682008743286,5.2163200378418
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Benin,BEN,3.67997002601624,3.53558993339539,2.93161988258362,3.09441518783569
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Bermuda,BMU,2.30668997764587,1.32495999336243,1.93595468997955,1.89008772373199
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Bhutan,BTN,3.82318997383118,6.22741651535034,5.74371290206909,5.54341268539429
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Bolivia,BOL,6.97379016876221,8.09724044799805,8.01587009429932,8.43710994720459
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Bosnia and Herzegovina,BIH,..,2.83868432044983,3.89297008514404,3.01954078674316
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Botswana,BWA,..,7.80924463272095,7.90538597106934,8.05833625793457
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Brazil,BRA,5.64879989624023,6.32047986984253,6.08851003646851,5.77150011062622
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,British Virgin Islands,VGB,3.48701000213623,2.45708990097046,2.42555999755859,2.70538997650146
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Brunei Darussalam,BRN,2.04661011695862,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Bulgaria,BGR,3.85746002197266,4.07755994796753,4.04709005355835,4.50513982772827
