Country.x,Year,key,Government Education Expenditure,AMA.exchange.rate,IMF.based.exchange.rate,Population,Currency,Per.capita.GNI,X.Agriculture..hunting..forestry..fishing..ISIC.A.B..,Changes.in.inventories,Construction..ISIC.F.,Exports.of.goods.and.services,Final.consumption.expenditure,General.government.final.consumption.expenditure,Gross.capital.formation,Gross.fixed.capital.formation..including.Acquisitions.less.disposals.of.valuables.,Household.consumption.expenditure..including.Non.profit.institutions.serving.households.,Imports.of.goods.and.services,Manufacturing..ISIC.D.,X.Mining..Manufacturing..Utilities..ISIC.C.E..,Other.Activities..ISIC.J.P.,Total.Value.Added,X.Transport..storage.and.communication..ISIC.I..,X.Wholesale..retail.trade..restaurants.and.hotels..ISIC.G.H..,Gross.National.Income.GNI..in.USD,Gross.Domestic.Product..GDP.,Learning.Adjusted.Years.of.School
Albania,2010,Albania 2010,3.41307497024536,4.65335486593656,4.65335486593656,14.884831341997, Lek ,8.30745932701195,21.484812335542,19.2282734502066,21.1562131745877,21.928366184956,23.0885248758688,21.008995819059,22.0083301840183,21.9442875532193,22.9550059848879,22.4797779845289,20.2929009703822,21.0826773311137,21.7713541142003,23.0618707259084,20.5994294339503,21.1387995751807,23.1920257343962,23.2020662385731,7.3824778
Albania,2017,Albania 2017,3.61172008514404,4.78832195389474,4.78832195389474,14.8730772159963, Lek ,8.41935983106747,21.6301644013772,17.9422963015958,20.8969608897167,22.1367624532579,23.1965899081519,21.1267692281456,21.9055366719495,21.8863523824997,23.0616765195442,22.5266866470023,20.502340689404,21.1023301960295,22.0430918597622,23.1544856153766,20.5227950169523,21.2446699401795,23.2921702277884,23.2897317252013,8.92
Albania,2018,Albania 2018,3.15294480323792,4.69124848921643,4.69124848921643,14.8722635087019, Lek ,8.56845648535378,21.7504725108019,15.7911502297777,21.0319109491847,22.2887893315778,23.3407011425781,21.2601335777266,22.010825506133,22.0088336329448,23.2073305070356,22.6484184317822,20.6502520158372,21.3457859024419,22.1854603903586,23.3077535017822,20.6533776140377,21.4114647288949,23.4404739728607,23.4416913590427,8.851396
Albania,2020,Albania 2020,3.3422999382019,4.6972934748639,4.6972934748639,14.8687244239991, Lek ,8.55468163582723,21.7931594712166,18.0343366191092,21.0317250352458,21.9574400768837,23.361215677379,21.3091383115102,21.9790562583637,21.9595098235278,23.2237132659957,22.4524905423958,20.632978600912,21.233901436659,22.2084250439163,23.3083911690451,20.6013476848434,21.427015095827,23.4232887289739,23.4400687062475,8.953018
Angola,2017,Angola 2017,2.46687889099121,5.11749039650267,5.11749039650267,17.2236381700093, Kwanza ,8.24064886337491,23.2274146570039,20.8043367137191,23.5369631568918,24.2905686164748,25.173315470019,23.4831317400242,24.1065999174732,24.0691059335267,24.9693792397675,24.0695535898961,22.8270260980346,24.2736211097266,23.9484934800778,25.5190563825514,22.3338011290391,24.017009060254,25.4681979653184,25.5272868816879,4.11
Angola,2018,Angola 2018,2.18351292610168,5.53676618324856,5.53676618324856,17.2582827387182, Kwanza ,7.99867136101578,22.8893692154505,20.3432536952132,23.1078727159152,24.4462783561681,24.9389492343441,23.085655215844,23.6197981486584,23.5813083201695,24.7684929148482,23.9770204859799,22.5500941878719,24.3535984442845,23.6934502555958,25.3383863537976,21.9528018635526,23.7618867618535,25.2566735545488,25.3383863537976,4.2349777
Angola,2020,Angola 2020,2.6674473285675,6.3617493212468,6.3617493212468,17.3249189986224, Kwanza ,7.37525577800975,22.4193955583971,20.6919156109731,22.229939423149,23.6964579942841,24.2173040732283,22.4014668057153,23.1777182923815,23.090788333014,24.0397292808298,22.9524014834803,22.0770463869986,23.7451339669668,23.1872465735788,24.7275443928545,20.9217371474427,23.1539897577378,24.6996828569778,24.7273406330811,4.2349777
Argentina,2010,Argentina 2010,5.01971006393433,1.5884788281152,1.5884788281152,17.5315216964935, Argentine Peso ,9.2127374965759,24.1382937345697,22.235777521133,23.6464270545472,25.1146284771559,26.5492659443298,24.8925841499135,25.0475557913989,24.9855760984348,26.3363939433381,24.9485889476638,24.9365237648278,25.2133114792884,25.6136149651757,26.6037988233499,23.9612106806349,24.8363809559422,26.7442891862984,26.7777051832181,8.238216
Argentina,2017,Argentina 2017,5.45431995391846,2.86577772951565,2.86577772951565,17.6009407175668, Argentine Peso ,9.56366972566382,24.2399386218467,23.7004795626592,24.0369663778732,25.0118132902186,27.0203751568822,25.4594642853497,25.4854397717527,25.3040225922675,26.7870510456363,25.2220805232664,25.1374061160394,25.4506536556676,26.161345145874,27.0203751568822,24.312318168186,25.3579948251858,27.1642123775809,27.1909645630523,8.87
Argentina,2018,Argentina 2018,4.87773990631104,3.3705660518051,3.3705660518051,17.6090562192597, Argentine Peso ,9.3410176956178,24.0343912365236,22.6907182719031,23.7582559890688,25.0509233928276,26.8280590693636,25.1414832972052,25.1913895968633,25.1057991247374,26.6231631905316,25.1739005581487,24.9149424652643,25.3139155342123,25.9050493872441,26.8009080802977,24.1312567170871,25.1169963518789,26.9498025062359,26.9866640995399,8.739134
